,NA corrected,Label,Sample Name,formula,name
2,9960.6790256,C13_192.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/68
3,41285.5280256,C13_192.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/68
4,35299.8378256,C13_192.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/68
5,49399.5541256,C13_192.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/68
6,57014.5019256,C13_192.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/68
7,67323.0968256,C13_192.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/68
8,54354.3194256,C13_192.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/68
9,51793.8133256,C13_192.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/68
10,61337.5965256,C13_192.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/68
11,60905.2786256,C13_192.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/68
0,349081.430801,C13_193.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/69
1,296277.287781,C13_193.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/69
2,112476.465938,C13_193.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/69
3,319962.681818,C13_193.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/69
4,295041.837218,C13_193.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/69
5,378250.071518,C13_193.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/69
6,0.0,C13_193.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/69
7,0.0,C13_193.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/69
8,0.0,C13_193.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/69
9,0.0,C13_193.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/69
10,0.0,C13_193.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/69
11,0.0,C13_193.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/69
0,4056.84042426,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
1,2124.71571417,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
2,1189.40846494,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
3,5689.33259547,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
4,4056.47910897,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
5,4816.78030873,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
6,0.0,C13_89.0_89.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 89/89
7,0.0,C13_89.0_89.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 89/89
