,col_name,Label,Sample Name,formula,name
0,56743.3039707,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
1,47413.3439707,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
2,19423.4439707,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
3,52656.9728007,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
4,47035.1039707,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
5,64560.3639707,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
6,0.0207520989355,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
7,0.0,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
8,0.0,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
9,0.0,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
10,0.0,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
11,0.0,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
0,10779.8606815,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
1,8132.1806815,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
2,2836.8206815,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
3,8321.3006815,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
4,12175.5025915,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
5,14071.1453915,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
6,0.0,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
7,0.0,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
8,0.0,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
9,0.0,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
10,0.020681500619,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
11,0.0,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
0,29914.3452657,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
1,28775.2026357,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
2,11044.8465957,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
3,25819.7114257,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
4,28266.5018357,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
5,35373.2005457,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
6,0.0,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
7,0.0,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
8,0.0,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
9,0.0,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
10,7.52054567968,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
11,0.0,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
0,60080.886624,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
1,58460.023765,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
2,55598.222283,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
3,58687.182283,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
4,59254.542283,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
5,61617.603429,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
6,54664.258334,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
7,54061.1284575,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
8,53816.67632,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
9,53391.822283,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
10,54005.471517,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
11,53076.622283,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
0,13417.06053,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
1,12030.10053,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
2,0.0,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
3,11525.74053,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
4,9508.46053,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
5,14866.96053,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
