,Intensity,Name,Glucose Concentration,Modified,Original Filename,Sample Name,Time,Formula,Parent,Parent_Formula,Label
7073,35560.075,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 157),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7074,34536.276,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 158),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7075,41463.858,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 159),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7076,59182.776,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 160),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7077,43003.4915,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 161),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7078,56611.9,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 162),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7079,70603.6495,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 163),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7080,30168.2085,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 164),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7081,29269.2,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 165),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7082,26393.4805,Malate 134/116,G9,True,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 166),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7083,36203.892,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 167),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7084,42365.059,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 168),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7085,41724.0675,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 169),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7086,58668.042,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 170),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7087,61233.6335,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 171),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7088,25482.4875,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 172),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7089,24905.6505,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 173),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7090,23622.8675,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 174),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7091,32861.7165,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 175),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7092,44677.959,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 176),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7093,32221.058,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 177),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7094,36199.041,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 178),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7095,59309.5335,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 179),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7096,24774.783,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 180),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7097,19383.2495,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 181),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7098,30038.0745,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 182),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7099,36201.5665,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 183),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7100,43647.7085,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 184),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7101,35302.7915,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 185),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7102,45829.0665,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 186),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7103,49681.0665,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 187),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7248,4752.5675,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7249,9756.875,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
