,Intensity,Name,Modified,Original Filename,Sample Name,Some garbage,Formula,Parent,Parent_Formula,Label
115,4713757.7,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 509)",L. [13C-glc] G5 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
116,4591559.58026,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 510)",M. [13C-glc] G5 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
117,3747117.5,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 511)",N. [13C-glc] G5 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
118,3932925.4,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 512)",O. [13C-glc] G5 240min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
119,7584921.38038,Citrate 191/111,True,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 513)","P. [6,6-DD-glc] G5 240min",0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
120,19016559.672,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 514)",Q. [13C-glc] G7 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
121,17674906.646,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 515)",R. [13C-glc] G7 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
122,10353606.496,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 516)",S. [13C-glc] G7 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
123,7220157.7,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 517)",T. [13C-glc] G7 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
124,5570791.15,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 518)",U. [13C-glc] G7 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
125,3544044.15,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 519)",V. [13C-glc] G7 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
126,5310355.5,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 520)",W. [13C-glc] G7 240min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
127,13068953.2186,Citrate 191/111,True,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 521)","X. [6,6-DD-glc] G7 240min",0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
128,9187734.48,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 522)",A. [13C-glc] G2.5 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
129,7897202.218,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 523)",B. [13C-glc] G2.5 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
130,6180629.35,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 524)",C. [13C-glc] G2.5 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
131,5404291.5,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 525)",D. [13C-glc] G2.5 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
132,4900673.95,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 526)",E. [13C-glc] G2.5 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
133,3841051.0,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 527)",F. [13C-glc] G2.5 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
134,5135425.6,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 528)",G. [13C-glc] G2.5 240min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
135,7634029.25,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 529)","H. [6,6-DD-glc] G2.5 240min",0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
136,8698331.772,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 530)",I. [13C-glc] G5 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
137,8826521.486,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 531)",J. [13C-glc] G5 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
138,7102748.2,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 532)",K. [13C-glc] G5 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
139,4809501.35,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 533)",L. [13C-glc] G5 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
140,4584211.1,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 534)",M. [13C-glc] G5 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
141,3753545.28078,Citrate 191/111,True,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 535)",N. [13C-glc] G5 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
142,3249097.95,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 536)",O. [13C-glc] G5 240min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
143,6172734.90011,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 537)","P. [6,6-DD-glc] G5 240min",0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
144,21831018.8576,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 538)",Q. [13C-glc] G7 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
145,14550952.0658,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 539)",R. [13C-glc] G7 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
146,10924923.558,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 540)",S. [13C-glc] G7 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
147,6862167.15,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 541)",T. [13C-glc] G7 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
148,5718543.55,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 542)",U. [13C-glc] G7 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
149,3210090.65,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 543)",V. [13C-glc] G7 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
